Equipment,Description,Location,Cost Center,Planning plant,ManufSerialNo.,Acquistion date,Room,Sort field
220065045,THREAD ROLLER & OUT CONVEYOR,STD,22STD11248,2210,1364S1969A T-ROL154186,03/01/2005,,PLANT 1 2017
220065046,BURNISHER & INSPECTION & OUT CONVEYOR,STD,22STD11249,2210,1367S1972A R15A8538,03/01/2005,,PLANT 1 2017
220065047,BURNISHER,STD,22STD11280,2210,T-ROLL(4332),12/01/2005,,PLANT 1 2017
220065048,BURNISHER,STD,22STD11290,2210,R15A(9080),03/01/2006,,WAREHOUSE 2017
220065049,ROLLING MACHINE,STD,22STD11255,2210,R16A-2,,,PLANT 1 2017
220065050,Thread Roller / Burnisher,STD,22STD11259,2210,,,,PLANT 1 2017
220067017,MSI-107,ASY,22ASY11170,2210,,07/01/1998,,SCRAP BEFORE SAP
220067018,MSI-107,ASY,22ASY11170,2210,1027S1572A,07/01/2002,,SCRAP BEFORE SAP
220069001,SEAT MACHINE,INJ,22INJ11500,2210,166837,,,PLANT 1 2017
220071049,Billet Heater Hopper,F12,22F1211304,2210,,,,PLANT 1 2017
